Character/Sequence,Frequency (%)
ES,3.05
LE,2.22
DE,2.17
RE,2.10
EN,2.08
ON,1.64
NT,1.62
ER,1.53
TE,1.52
ET,1.43
EL,1.42
AN,1.37
SE,1.32
LA,1.29
AI,1.24
NE,1.14
OU,1.12
QU,1.11
ME,1.08
IT,1.06
IE,1.05
EM,1.01
ED,1.01
UR,1.01
IS,0.99
EC,0.95
UE,0.92
TI,0.90
RA,0.86
NS,0.84
IN,0.84
TA,0.82
CE,0.81
AR,0.80
EE,0.79
EU,0.78
SA,0.76
CO,0.74
EP,0.71
ND,0.70
IL,0.70
SS,0.68
ST,0.66
SI,0.65
TR,0.64
AL,0.64
UN,0.63
PA,0.62
AU,0.61
EA,0.60
AT,0.58
MA,0.58
RI,0.58
SD,0.57
SO,0.57
US,0.57
UI,0.56
LL,0.53
NC,0.53
VE,0.53
LI,0.52
RO,0.51
IO,0.51
OR,0.50
PE,0.48
OI,0.48
PR,0.47
PO,0.46
IR,0.46
NA,0.45
UT,0.44
TD,0.44
CH,0.44
OM,0.43
SP,0.43
SL,0.42
DA,0.42
AS,0.42
MO,0.41
AC,0.40
DI,0.40
RS,0.39
DU,0.39
TL,0.38
TO,0.38
TS,0.38
RT,0.37
AM,0.37
AP,0.37
SC,0.36
LO,0.36
AV,0.35
SU,0.35
EV,0.34
NO,0.33
RL,0.33
NI,0.32
GE,0.31
RD,0.31
LU,0.31
NN,0.30
HE,0.29
PL,0.28
IQ,0.28
EF,0.28
MI,0.27
VA,0.27
TU,0.27
VI,0.27
CA,0.27
EQ,0.26
CI,0.26
TT,0.26
IC,0.25
UX,0.25
MM,0.25
OL,0.24
AG,0.24
VO,0.24
EI,0.24
MP,0.23
TP,0.23
SM,0.23
UL,0.22
HA,0.22
FI,0.21
FA,0.21
IM,0.21
EG,0.21
ID,0.20
DO,0.20
AD,0.20
GR,0.19
SQ,0.19
AB,0.19
BL,0.18
UV,0.18
IV,0.18
NG,0.18
TC,0.17
IA,0.17
OT,0.17
CL,0.17
RC,0.17
RM,0.17
OS,0.17
OP,0.16
CT,0.16
FO,0.16
UC,0.16
UP,0.16
RR,0.16
JE,0.16
HO,0.16
UD,0.15
CR,0.15
EB,0.15
EO,0.15
IF,0.15
FR,0.14
RU,0.14
UA,0.14
NP,0.14
IG,0.14
BA,0.14
BR,0.14
OC,0.14
CU,0.14
FE,0.13
UM,0.13
EX,0.13
BI,0.13
BE,0.13
GN,0.13
MB,0.13
AF,0.12
HI,0.12
EJ,0.12
NF,0.12
GI,0.12
PP,0.12
GA,0.11
FF,0.11
PU,0.11
BO,0.11
SF,0.11
SR,0.11
LS,0.11
TQ,0.11
OD,0.10
PH,0.10
TM,0.10
DR,0.10
NU,0.10
NV,0.10
RN,0.10
PI,0.10
OB,0.09
GU,0.09
NL,0.09
OG,0.09
JO,0.09
IP,0.09
TH,0.08
RP,0.08
SB,0.08
JA,0.08
NM,0.08
SN,0.08
YS,0.08
MU,0.08
UB,0.08
VR,0.08
SV,0.08
YA,0.07
XE,0.07
RG,0.07
EZ,0.07
CC,0.07
NQ,0.07
IB,0.07
SG,0.07
NR,0.06
AE,0.06
RV,0.06
LD,0.06
EH,0.06
SH,0.06
AY,0.06
PT,0.06
OY,0.05
XP,0.05
DS,0.05
RQ,0.05
TF,0.05
FL,0.05
YE,0.05
SJ,0.05
LH,0.05
JU,0.05
LT,0.05
FU,0.05
UF,0.05
AQ,0.05
IX,0.05
PS,0.05
TN,0.05
