Character/Sequence,Frequency (%)
ENT,1.42
QUE,1.07
AIT,0.92
LES,0.81
LLE,0.79
OUR,0.79
MEN,0.75
AIS,0.66
EST,0.57
TRE,0.57
MAI,0.53
OUS,0.53
PAR,0.53
ANT,0.52
ION,0.52
EME,0.51
TAI,0.50
ANS,0.50
PAS,0.48
ELL,0.48
VOU,0.47
TOU,0.47
POU,0.46
EUR,0.45
ONT,0.45
RES,0.45
DAN,0.45
UNE,0.44
ÉTA,0.44
IEN,0.42
SUR,0.42
SON,0.41
MME,0.40
TIO,0.39
DES,0.39
IRE,0.38
COM,0.37
OMM,0.37
VER,0.37
CON,0.35
CHE,0.35
AVE,0.35
AIN,0.35
URE,0.34
OUT,0.33
PLU,0.32
CHA,0.32
EUX,0.31
AVA,0.31
OUV,0.30
NTE,0.30
LUS,0.30
FAI,0.30
ATI,0.30 %
